url,title,summary,content_type,issue_id
https://github.com/BLAKE3-team/BLAKE3,BLAKE3,"BLAKE3 is a new hashing algorithm substantially faster than BLAKE2 and SHA3.
Also very interesting the way they use Merkle trees to allow incremental
validation. See the [bao](https://github.com/oconnor663/bao) project for an
application of it.",text,2020-W02
https://www.inkandswitch.com/local-first.html,"Local first: You own your data, in spite of the cloud","Well articulated analysis on local first software, benefits and challenges.",text,2020-W02
https://musicforprogramming.net/,Music for programming,Curated music collection intended for prolonged intense concentration periods.,text,2020-W02
https://web.hypothes.is/,"Annotate the web, with anyone, anywhere","Service built around the [Open Annotation](http://openannotation.org/)
initiative which was the effort for the W3C specifications
[Web Annotation Data Model](https://www.w3.org/TR/annotation-model/),
[Web Annotation Vocabulary](https://www.w3.org/TR/annotation-vocab/) and
[Web Annotation Protocol](https://www.w3.org/TR/annotation-protocol/)",text,2020-W02
https://hackernoon.com/the-mvp-is-dead-long-live-the-rat-233d5d16ab02,"Riskiest Assumption Test. The MVP is dead, long live the RAT","A bit old (2016) article about why the ""Riskiest Assumptions Test"" is a better
tool for managing uncertainty in a project than the popular ""Minimum Viable
Product"".",text,2020-W02
https://alpha.iodide.io/,Iodide,"Research tool from Mozilla exploring the use of WebAssembly to bring mature data
analysis tools such as Pandas to the browser.",text,2020-W02
https://stackedit.io/,StackEdit,"An open-source Markdown editor on the browser, as a library, extension or
standalone.",text,2020-W03
https://themer.dev/,Themer,"Web tool that takes a set of colors and generates themes for tools such as
iTerm, Vim, VS Code, tmux and many more.",text,2020-W03
https://www.alexdebrie.com/posts/dynamodb-no-bad-queries/,"SQL, NoSQL, and Scale: How DynamoDB scales where relational databases don't","This article explores in depth the DynamoDB tradeoffs in contrast with the
relational database model and gives some insight in how to design your data
when classic tools like SQL joins are not available.",text,2020-W03
https://medium.com/@rbranson/sharing-sqlite-databases-across-containers-is-surprisingly-brilliant-bacb8d753054,Sharing an SQLite database across containers is surprisingly brilliant,"Segment shares their experience sharing SQLite database as a Docker volume
leveraging [SQLite's Write-Ahead Logging (WAL)](https://www.sqlite.org/wal.html).

If distributed SQLite sounds appealing to you don't miss [Rqlite](https://github.com/rqlite/rqlite).",text,2020-W03
https://github.com/wfxr/forgit,Forgit,"A utility tool powered by [fzf](https://github.com/junegunn/fzf) for using git
interactively.",text,2020-W03
https://godbolt.org/,Godbolt: Compiler explorer,"Web tool that lets you inspect the generated assembly from different
programming languages such as Rust, Go or C++. The list is long.

Follow the [Down the Stack: Compiled Rust Part
1](https://blog.ryanlevick.com/down-the-stack-part-1/) article to get a gentle
introduction to x86-64 assembly using Godbolt.",text,2020-W03
https://eunoia.world/,Eunoia,A searchable directory of words that don't translate to English.,text,2020-W04
